point,latitude,longitude,altitude
P001,-25.4531211012128,-49.2329214208956,0.0
P002,-25.4531430198923,-49.2329318498644,0.0
P003,-25.4531661844295,-49.2329422805295,0.0
P004,-25.4531914570526,-49.2329538438182,0.0
P005,-25.4532123814598,-49.2329634222214,0.0
P006,-25.4532247811740,-49.2329690482262,0.0
P007,-25.4532260352396,-49.2329704816841,0.0
P008,-25.4532101093707,-49.2330079134265,0.0
P009,-25.4531976920427,-49.2330435736739,0.0
P010,-25.4531830197049,-49.2330793961111,0.0
P011,-25.4531696274066,-49.2331150606372,0.0
P012,-25.4531559858351,-49.2331510171612,0.0
P013,-25.4531435939421,-49.2331872935134,0.0
P014,-25.4531291394452,-49.2332224664013,0.0
P015,-25.4531156568481,-49.2332581322155,0.0
P016,-25.4531021413676,-49.2332940669803,0.0
P017,-25.4530896714320,-49.2333306129207,0.0
P018,-25.4530752286770,-49.2333660143091,0.0
P019,-25.4530620699106,-49.2334015858721,0.0
P020,-25.4530486697002,-49.2334373498817,0.0
P021,-25.4530361282352,-49.2334739564986,0.0
P022,-25.4530218257957,-49.2335090177237,0.0
P023,-25.4530082587253,-49.2335451719480,0.0
P024,-25.4529949385178,-49.2335808353229,0.0
P025,-25.4529825428047,-49.2336168033903,0.0
P026,-25.4529680443841,-49.2336520862049,0.0
P027,-25.4529546526572,-49.2336878102629,0.0
P028,-25.4529412717418,-49.2337236833099,0.0
P029,-25.4529287566824,-49.2337602397639,0.0
P030,-25.4529141982716,-49.2337957919003,0.0
P031,-25.4529008051921,-49.2338314065678,0.0
P032,-25.4528871671441,-49.2338676711385,0.0
P033,-25.4528746781689,-49.2339041476330,0.0
P034,-25.4528602916340,-49.2339389812885,0.0
P035,-25.4528479351793,-49.2339782201592,0.0
P036,-25.4528458823976,-49.2339779319242,0.0
P037,-25.4528225744611,-49.2339675827223,0.0
P038,-25.4527971935925,-49.2339560208279,0.0
P039,-25.4527740034742,-49.2339457096887,0.0
P040,-25.4527426310842,-49.2339313913803,0.0
P041,-25.4527324789873,-49.2339039758791,0.0
P042,-25.4527282362236,-49.2338709852603,0.0
P043,-25.4527205055929,-49.2338429875254,0.0
P044,-25.4527077263688,-49.2338155706096,0.0
P045,-25.4526886748474,-49.2337853218351,0.0
P046,-25.4526875994928,-49.2336936972983,0.0
P047,-25.4527029537998,-49.2336575170976,0.0
P048,-25.4527163084615,-49.2336217141050,0.0
P049,-25.4527297016117,-49.2335861094151,0.0
P050,-25.4527429811741,-49.2335500688573,0.0
P051,-25.4527565518396,-49.2335142129705,0.0
P052,-25.4527699122605,-49.2334781413861,0.0
P053,-25.4527833151181,-49.2334425961858,0.0
P054,-25.4527968048789,-49.2334067712881,0.0
P055,-25.4528102582862,-49.2333709270263,0.0
P056,-25.4528237351736,-49.2333347841057,0.0
P057,-25.4528371543720,-49.2332990994258,0.0
P058,-25.4528488106275,-49.2332624560615,0.0
P059,-25.4531079609442,-49.2329217718952,0.0
P060,-25.4530992049208,-49.2329465997527,0.0
P061,-25.4530895152424,-49.2329711131016,0.0
P062,-25.4530801589317,-49.2329955718603,0.0
P063,-25.4530677278690,-49.2330173410183,0.0
P064,-25.4530499736008,-49.2330341265997,0.0
P065,-25.4530269482672,-49.2330420100537,0.0
P066,-25.4530020642109,-49.2330417271001,0.0
P067,-25.4529776998439,-49.2330358681283,0.0
P068,-25.4529568154414,-49.2330221128231,0.0
P069,-25.4529301229209,-49.2330478389592,0.0
P070,-25.4529179175066,-49.2330853554806,0.0
P071,-25.4529043703204,-49.2331209028643,0.0
P072,-25.4528906854066,-49.2331570090940,0.0
P073,-25.4528772126854,-49.2331927443036,0.0
P074,-25.4528620873700,-49.2332276882595,0.0
P075,-25.4528678680472,-49.2332511801644,0.0
P076,-25.4528847795122,-49.2332588781864,0.0
P077,-25.4529016184082,-49.2332665474390,0.0
P078,-25.4529207200305,-49.2332754464953,0.0
P079,-25.4529401521527,-49.2332840523635,0.0
P080,-25.4529590256056,-49.2332927459404,0.0
P081,-25.4529778163863,-49.2333013214034,0.0
P082,-25.4529991211914,-49.2333110036792,0.0
P083,-25.4530170221364,-49.2333191546202,0.0
P084,-25.4530362372681,-49.2333277338387,0.0
P085,-25.4530551556108,-49.2333364068858,0.0
P086,-25.4530741230796,-49.2333259078954,0.0
P087,-25.4530816830860,-49.2333052141943,0.0
P088,-25.4530896530311,-49.2332840769854,0.0
P089,-25.4530976478457,-49.2332635061978,0.0
P090,-25.4531052515381,-49.2332426925276,0.0
P091,-25.4531131598456,-49.2332216854780,0.0
P092,-25.4531207539073,-49.2332008222252,0.0
P093,-25.4531289558342,-49.2331802086285,0.0
P094,-25.4531365622665,-49.2331596236118,0.0
P095,-25.4531446230500,-49.2331385347762,0.0
P096,-25.4531520483020,-49.2331186484548,0.0
P097,-25.4531603095025,-49.2330969600690,0.0
P098,-25.4531683131961,-49.2330763791847,0.0
P099,-25.4530661247334,-49.2333469361339,0.0
P100,-25.4530582311094,-49.2333676645317,0.0
P101,-25.4530503756211,-49.2333885614119,0.0
P102,-25.4530424847427,-49.2334095184680,0.0
P103,-25.4530349082238,-49.2334303416647,0.0
P104,-25.4530268037537,-49.2334508046525,0.0
P105,-25.4530191394123,-49.2334710822268,0.0
P106,-25.4530113756065,-49.2334920970791,0.0
P107,-25.4530036037818,-49.2335124458229,0.0
P108,-25.4529957316550,-49.2335334622515,0.0
P109,-25.4529878506186,-49.2335544887511,0.0
P110,-25.4529800105228,-49.2335751666236,0.0
P111,-25.4529720651001,-49.2335960946217,0.0
P112,-25.4529645754660,-49.2336166381057,0.0
P113,-25.4529563357604,-49.2336378687033,0.0
P114,-25.4529483951134,-49.2336591943688,0.0
P115,-25.4529407253585,-49.2336790245338,0.0
P116,-25.4529327368227,-49.2337001221898,0.0
P117,-25.4529252991774,-49.2337204859172,0.0
P118,-25.4529172166647,-49.2337412766875,0.0
P119,-25.4529096062642,-49.2337622892670,0.0
P120,-25.4529018700265,-49.2337825976838,0.0
P121,-25.4528940307343,-49.2338033451216,0.0
P122,-25.4528860232899,-49.2338243734326,0.0
P123,-25.4528779872087,-49.2338452728919,0.0
